date,precipitation_cehgear,precipitation_haduk,pet_chess,peti_chess,pet_hydrope,peti_hydrope,temperature_chess,temperature_haduk,discharge_spec,discharge_vol
1970-10-01,10.27,9.03,1.74,2.02,1.17,1.54,11.35,10.35,NaN,NaN
1970-10-02,3.55,3.53,2.21,2.55,0.47,0.84,9.49,7.70,NaN,NaN
1970-10-03,2.85,2.49,2.08,2.35,1.28,1.66,9.88,10.59,NaN,NaN
1970-10-04,4.84,4.05,0.23,0.32,1.65,1.95,11.52,11.66,NaN,NaN
1970-10-05,4.09,3.92,1.15,1.40,0.63,1.00,11.46,8.41,NaN,NaN
1970-10-06,2.75,2.38,1.55,1.74,0.45,0.70,8.34,7.76,NaN,NaN
1970-10-07,4.66,4.25,0.94,1.14,0.36,0.66,7.65,6.87,NaN,NaN
1970-10-08,0.01,0.02,0.74,0.75,0.34,0.35,7.72,6.67,NaN,NaN
1970-10-09,0.00,0.00,0.84,0.84,0.44,0.44,6.88,7.49,NaN,NaN
1970-10-10,0.01,0.01,0.82,0.82,1.46,1.46,8.16,10.76,NaN,NaN
1970-10-11,0.53,0.56,0.04,0.05,1.98,2.22,9.81,12.31,NaN,NaN
1970-10-12,0.00,0.00,0.48,0.48,1.91,1.91,12.23,12.04,NaN,NaN
1970-10-13,0.02,0.03,0.48,0.48,1.95,1.96,11.72,12.12,NaN,NaN
1970-10-14,0.26,0.30,0.33,0.34,1.43,1.57,10.17,10.45,NaN,NaN
1970-10-15,0.00,0.00,0.49,0.49,0.91,0.91,10.50,8.76,NaN,NaN
1970-10-16,0.01,0.01,0.62,0.62,0.57,0.58,9.26,7.46,NaN,NaN
1970-10-17,0.02,0.01,0.84,0.84,1.25,1.26,8.43,9.76,NaN,NaN
1970-10-18,3.54,3.64,1.07,1.36,0.74,1.13,9.22,8.02,NaN,NaN
1970-10-19,0.18,0.29,1.71,1.79,0.22,0.35,7.98,5.48,NaN,NaN
1970-10-20,0.01,0.01,1.43,1.43,0.20,0.20,4.34,3.83,NaN,NaN
1970-10-21,0.00,0.01,1.45,1.45,0.19,0.20,4.84,4.90,NaN,NaN
1970-10-22,0.00,0.01,0.49,0.49,0.41,0.41,6.99,6.65,NaN,NaN
1970-10-23,5.19,3.67,0.79,0.97,1.03,1.42,7.78,8.74,NaN,NaN
1970-10-24,12.99,10.40,0.22,0.33,1.49,1.88,9.61,10.21,NaN,NaN
1970-10-25,11.30,11.29,0.59,0.81,0.91,1.31,10.40,8.23,NaN,NaN
1970-10-26,0.62,0.57,0.93,1.08,0.21,0.41,7.34,5.71,NaN,NaN
1970-10-27,15.17,14.72,0.69,0.87,0.86,1.26,6.56,7.93,NaN,NaN
1970-10-28,7.93,7.98,0.13,0.20,0.87,1.28,7.42,7.92,NaN,NaN
1970-10-29,10.92,9.56,0.45,0.63,2.19,2.56,9.71,12.21,NaN,NaN
1970-10-30,15.01,14.80,0.24,0.38,1.66,2.05,11.79,10.49,NaN,NaN
1970-10-31,11.63,10.42,0.98,1.24,1.67,2.06,11.34,10.46,NaN,NaN
1970-11-01,12.72,13.66,2.04,2.38,1.03,1.34,9.29,8.39,NaN,NaN
1970-11-02,8.43,8.70,0.26,0.38,1.46,1.76,9.90,9.79,NaN,NaN
1970-11-03,8.97,9.62,1.40,1.75,0.87,1.17,8.56,7.67,NaN,NaN
1970-11-04,7.96,8.49,0.75,0.99,0.79,1.10,7.75,7.33,NaN,NaN
1970-11-05,2.85,2.79,1.10,1.38,0.25,0.50,7.05,5.19,NaN,NaN
1970-11-06,0.06,0.13,0.36,0.37,0.22,0.28,5.11,5.01,NaN,NaN
1970-11-07,0.01,0.03,0.38,0.38,0.10,0.11,5.07,3.80,NaN,NaN
1970-11-08,6.03,5.88,0.68,0.94,0.80,1.10,5.48,7.13,NaN,NaN
1970-11-09,0.30,0.41,1.20,1.32,0.43,0.61,6.51,5.64,NaN,NaN
1970-11-10,9.18,9.11,0.74,0.93,1.11,1.41,7.37,8.18,NaN,NaN
1970-11-11,5.92,6.25,0.00,0.00,0.46,0.78,7.13,5.67,NaN,NaN
1970-11-12,8.16,8.26,0.54,0.76,0.08,0.17,4.62,3.11,NaN,NaN
1970-11-13,2.54,2.56,0.57,0.78,0.07,0.16,3.17,2.20,NaN,NaN
1970-11-14,0.02,0.03,0.14,0.14,0.07,0.09,1.46,0.91,NaN,NaN
1970-11-15,4.69,4.81,0.48,0.68,0.07,0.15,1.47,0.95,NaN,NaN
1970-11-16,4.52,4.57,0.02,0.03,0.08,0.17,1.84,3.39,NaN,NaN
1970-11-17,26.47,27.63,0.29,0.42,0.09,0.19,3.93,3.66,NaN,NaN
1970-11-18,8.51,9.43,0.46,0.63,0.18,0.38,4.25,4.04,NaN,NaN
1970-11-19,4.89,5.02,0.17,0.28,0.06,0.13,4.11,2.15,NaN,NaN
1970-11-20,5.67,6.15,0.43,0.60,0.06,0.13,2.69,3.15,NaN,NaN
1970-11-21,0.87,0.94,0.20,0.29,0.06,0.13,3.84,3.17,NaN,NaN
1970-11-22,9.96,10.34,0.26,0.37,0.12,0.28,2.96,3.46,NaN,NaN
1970-11-23,8.44,9.01,0.50,0.74,1.34,1.64,6.67,8.33,NaN,NaN
1970-11-24,0.10,0.12,0.10,0.10,1.59,1.65,8.32,9.21,NaN,NaN
1970-11-25,2.97,3.21,0.42,0.53,0.95,1.26,8.90,6.72,NaN,NaN
1970-11-26,1.50,1.65,0.08,0.10,0.82,1.14,5.99,6.15,NaN,NaN
1970-11-27,3.57,3.60,0.07,0.10,1.19,1.50,6.78,7.56,NaN,NaN
1970-11-28,4.93,5.09,0.03,0.05,1.14,1.45,8.17,7.33,NaN,NaN
1970-11-29,10.69,11.26,0.04,0.06,0.75,1.06,5.59,5.70,NaN,NaN
